class,precision,recall,f1-score,support
cardboard,0.9824561403508771,0.9180327868852459,0.9491525423728814,61
glass,0.8904109589041096,0.8666666666666667,0.8783783783783784,75
metal,0.8769230769230769,0.9193548387096774,0.8976377952755905,62
paper,0.8854166666666666,0.9550561797752809,0.918918918918919,89
plastic,0.8243243243243243,0.8472222222222222,0.8356164383561644,72
trash,0.8666666666666667,0.6190476190476191,0.7222222222222222,21
accuracy,0.8868421052631579,,,
macro_avg,0.8876996389726202,0.8542300522177854,0.8669877159206926,380
weighted_avg,0.8879823998240189,0.8868421052631579,0.8856448967955397,380
